Dress_ID,Price,Rating,Size,Season,NeckLine,SleeveLength
1006032852,Low,4.6,M,Summer,o-neck,sleevless
1212192089,Low,0,L,Summer,o-neck,Petal
1190380701,High,0,L,Automn,o-neck,full
966005983,Average,4.6,L,Spring,o-neck,full
876339541,Low,4.5,M,Summer,o-neck,butterfly
1068332458,Low,0,M,Summer,v-neck,sleevless
1220707172,Average,0,XL,Summer,o-neck,full
1219677488,Average,0,free,Automn,o-neck,short
1113094204,Average,0,free,Spring,v-neck,short
985292672,Low,0,free,Summer,v-neck,sleevless
1117293701,Average,5,free,Summer,o-neck,full
898481530,Average,0,free,Spring,v-neck,short
957723897,Low,4.7,M,Winter,o-neck,threequarter
749031896,Average,4.8,M,Summer,o-neck,short
1055411544,Low,5,M,Summer,boat-neck,short
1162628131,Low,0,free,Winter,boat-neck,full
624314841,Average,4.7,L,spring,o-neck,short
830467746,Medium,5,free,Automn,o-neck,full
840857118,Average,0,M,Winter,peterpan-collor,threequarter
1113221101,Average,5,M,Automn,o-neck,sleevless
861754372,Average,4.5,L,Automn,o-neck,full
856178100,Low,4.3,M,Summer,o-neck,sleevless
1122989777,Low,4,XL,Summer,v-neck,short
840516484,Average,4.7,S,Summer,v-neck,sleevless
768517084,Average,0,free,Automn,v-neck,sleevless
1139843344,Average,0,M,Automn,o-neck,sleevless
1004212992,Average,4.7,M,Spring,o-neck,sleevless
1235426503,Low,0,L,Summer,o-neck,sleevless
942808364,Low,4.3,free,Automn,o-neck,sleevless
629131530,Low,4.7,M,Spring,ruffled,short
851945460,Average,4.6,L,Automn,o-neck,sleevless
1150275464,Low,0,M,Spring,o-neck,sleevless
1026634314,Average,4.4,L,Automn,o-neck,sleevless
978773911,Average,4.3,L,Spring,o-neck,sleevless
827791337,High,4.7,M,Spring,o-neck,threequarter
640823350,Low,4.6,free,Winter,boat-neck,full
801861988,Average,4.6,free,Winter,o-neck,full
1060207186,Average,0,M,Automn,o-neck,short
1054679816,Average,4.6,M,Winter,o-neck,sleevless
941190190,Average,4.5,M,Spring,v-neck,short
943844640,Average,5,free,Spring,v-neck,sleevless
661795386,Low,4.4,L,Automn,o-neck,halfsleeve
875312593,Average,4.8,M,Winter,o-neck,short
971387676,Low,4.8,free,Spring,o-neck,sleevless
1021185637,Average,4.8,M,Winter,o-neck,sleevless
1163826114,Average,0,M,Winter,o-neck,short
735635595,Average,4.8,L,Spring,v-neck,threequarter
1175184188,Average,0,M,Summer,o-neck,halfsleeve
679415939,Low,4.7,M,Summer,o-neck,sleevless
884147971,Medium,0,L,Winter,boat-neck,full
